left,right,front,steering
516.0,458.0,1719.0,3.0
516.0,463.0,1729.0,-2.0
508.0,463.0,1729.0,-7.0
497.0,474.0,0.0,-7.0
498.0,480.0,1586.0,-7.0
493.0,466.0,1586.0,-2.0
513.0,466.0,1437.0,-2.0
503.0,468.0,1263.0,-2.0
503.0,477.0,1143.0,-2.0
502.0,2211.0,1143.0,-7.0
509.0,1951.0,968.0,-12.0
518.0,1220.0,927.0,-7.0
656.0,1131.0,870.0,-7.0
954.0,1133.0,814.0,-7.0
1162.0,1133.0,797.0,-12.0
1368.0,1133.0,987.0,-12.0
1455.0,745.0,987.0,-7.0
1177.0,603.0,1162.0,-7.0
1022.0,629.0,1254.0,-12.0
1022.0,601.0,1795.0,-7.0
622.0,535.0,2146.0,-7.0
545.0,541.0,2146.0,-12.0
503.0,531.0,2188.0,-12.0
477.0,495.0,2188.0,-7.0
475.0,495.0,2094.0,-2.0
475.0,473.0,2081.0,-2.0
483.0,480.0,1890.0,-2.0
486.0,471.0,1890.0,-2.0
495.0,471.0,1890.0,-2.0
479.0,481.0,1967.0,-2.0
484.0,473.0,1853.0,-7.0
477.0,473.0,1749.0,-7.0
477.0,481.0,1683.0,-2.0
491.0,468.0,1683.0,-2.0
490.0,468.0,1563.0,-2.0
493.0,483.0,1429.0,-2.0
485.0,487.0,1357.0,-2.0
482.0,485.0,1172.0,-2.0
471.0,819.0,0.0,-2.0
467.0,2217.0,1175.0,-7.0
487.0,2235.0,1110.0,-12.0
474.0,1864.0,889.0,-12.0
583.0,1290.0,860.0,-12.0
696.0,1290.0,852.0,-12.0
1179.0,819.0,852.0,-7.0
1367.0,819.0,1089.0,-7.0
1481.0,647.0,1144.0,-7.0
1237.0,657.0,1112.0,-7.0
1067.0,638.0,1158.0,-12.0
1067.0,633.0,1731.0,-12.0
702.0,633.0,2180.0,-12.0
565.0,524.0,2180.0,-12.0
497.0,524.0,2127.0,-7.0
492.0,479.0,2038.0,-2.0
493.0,472.0,2047.0,-2.0
486.0,484.0,1978.0,-2.0
486.0,480.0,1978.0,-7.0
472.0,480.0,1872.0,-7.0
477.0,487.0,1872.0,-2.0
483.0,487.0,1826.0,-2.0
481.0,474.0,1774.0,-2.0
481.0,474.0,1774.0,-2.0
485.0,474.0,1730.0,-2.0
485.0,476.0,1620.0,-2.0
493.0,466.0,1472.0,-2.0
491.0,469.0,1472.0,-2.0
477.0,485.0,1308.0,-2.0
488.0,493.0,1269.0,-2.0
474.0,485.0,1138.0,-7.0
479.0,604.0,954.0,-7.0
479.0,1847.0,897.0,-7.0
489.0,1861.0,897.0,-7.0
522.0,1923.0,897.0,-12.0
605.0,1189.0,794.0,-12.0
757.0,1189.0,794.0,-12.0
1452.0,654.0,829.0,-7.0
1435.0,557.0,1075.0,-2.0
1312.0,546.0,1167.0,-7.0
1189.0,624.0,1179.0,-12.0
999.0,624.0,1336.0,-12.0
624.0,624.0,1913.0,-12.0
624.0,575.0,1913.0,-7.0
511.0,484.0,2092.0,-7.0
494.0,470.0,2114.0,-7.0
465.0,453.0,2114.0,-7.0
472.0,451.0,2057.0,-2.0
486.0,446.0,2022.0,-2.0
485.0,452.0,2022.0,-2.0
480.0,442.0,1895.0,-2.0
472.0,450.0,1895.0,-2.0
483.0,456.0,1932.0,-2.0
472.0,455.0,1814.0,-2.0
469.0,467.0,1814.0,-7.0
464.0,468.0,1636.0,-7.0
464.0,461.0,1499.0,-2.0
478.0,461.0,1499.0,-2.0
478.0,461.0,1499.0,-2.0
478.0,461.0,1499.0,-2.0
478.0,461.0,1499.0,-7.0
478.0,461.0,1499.0,-7.0
478.0,461.0,1499.0,-7.0
478.0,461.0,1499.0,-12.0
478.0,461.0,1499.0,-12.0
478.0,461.0,1499.0,-7.0
478.0,461.0,1499.0,-7.0
478.0,461.0,1499.0,-7.0
478.0,461.0,1499.0,-7.0
478.0,461.0,1499.0,-7.0
1486.0,2206.0,1021.0,-12.0
1079.0,655.0,1021.0,-12.0
647.0,655.0,1881.0,-12.0
647.0,547.0,2252.0,-7.0
547.0,504.0,2197.0,-7.0
488.0,494.0,0.0,-7.0
484.0,484.0,2179.0,-7.0
473.0,476.0,2086.0,-7.0
492.0,471.0,2019.0,-2.0
483.0,465.0,2019.0,-2.0
490.0,464.0,2030.0,-2.0
477.0,464.0,1945.0,-2.0
480.0,468.0,1828.0,-2.0
487.0,471.0,1798.0,-7.0
504.0,462.0,1765.0,-2.0
501.0,462.0,1582.0,-2.0
508.0,462.0,1528.0,-2.0
508.0,457.0,1528.0,3.0
506.0,462.0,1442.0,-2.0
506.0,462.0,1442.0,-7.0
499.0,474.0,1294.0,-7.0
488.0,1483.0,1194.0,-7.0
501.0,2125.0,1194.0,-7.0
503.0,2094.0,919.0,-12.0
536.0,1868.0,0.0,-12.0
595.0,1244.0,836.0,-7.0
1021.0,969.0,836.0,-7.0
1190.0,894.0,835.0,-7.0
1374.0,757.0,810.0,-12.0
1430.0,685.0,1049.0,-12.0
1023.0,615.0,1150.0,-7.0
1023.0,581.0,1707.0,-7.0
744.0,585.0,1707.0,-7.0
632.0,585.0,2025.0,-12.0
632.0,570.0,2272.0,-16.0
537.0,515.0,2272.0,-12.0
496.0,515.0,2211.0,-7.0
463.0,475.0,2097.0,3.0
484.0,473.0,2097.0,-2.0
475.0,481.0,2003.0,-7.0
472.0,481.0,1937.0,-7.0
483.0,497.0,1899.0,-7.0
483.0,474.0,1899.0,-2.0
497.0,480.0,0.0,-2.0
480.0,474.0,1804.0,-2.0
476.0,479.0,1693.0,-2.0
488.0,484.0,1693.0,-2.0
475.0,484.0,1534.0,-2.0
475.0,477.0,1389.0,-7.0
480.0,487.0,0.0,-2.0
484.0,478.0,1280.0,-2.0
484.0,510.0,1240.0,-2.0
485.0,2221.0,1148.0,-7.0
482.0,2230.0,1110.0,-12.0
479.0,2028.0,894.0,-12.0
576.0,2028.0,816.0,-12.0
576.0,1226.0,0.0,-12.0
1136.0,983.0,842.0,-12.0
1313.0,983.0,1195.0,-7.0
1291.0,659.0,1195.0,-7.0
1156.0,622.0,1243.0,-7.0
1036.0,622.0,1334.0,-12.0
1036.0,616.0,1334.0,-12.0
701.0,574.0,1669.0,-12.0
587.0,535.0,2256.0,-7.0
534.0,535.0,2078.0,-7.0
496.0,492.0,2051.0,-2.0
479.0,479.0,2032.0,-2.0
486.0,476.0,1967.0,-2.0
492.0,479.0,2063.0,-2.0
473.0,481.0,1952.0,-7.0
479.0,481.0,1817.0,-7.0
476.0,489.0,0.0,-2.0
491.0,476.0,1787.0,-2.0
489.0,476.0,1707.0,-2.0
